Configuration_NodeType_Items_Item2_PreloadFile_Write_InputArguments,15130,Variable
Configuration_NodeType_Items_Item2_PreloadFile_GetPosition,15131,Method
Configuration_NodeType_Items_Item2_PreloadFile_GetPosition_InputArguments,15132,Variable
Configuration_NodeType_Items_Item2_PreloadFile_GetPosition_OutputArguments,15133,Variable
Configuration_NodeType_Items_Item2_PreloadFile_SetPosition,15134,Method
Configuration_NodeType_Items_Item2_PreloadFile_SetPosition_InputArguments,15135,Variable
Configuration_NodeType_Items_Item2_Signature,15136,Object
Configuration_NodeType_Items_Item2_Signature_Size,15137,Variable
Configuration_NodeType_Items_Item2_Signature_Writable,15138,Variable
Configuration_NodeType_Items_Item2_Signature_UserWritable,15139,Variable
Configuration_NodeType_Items_Item2_Signature_OpenCount,15140,Variable
Configuration_NodeType_Items_Item2_Signature_MimeType,15141,Variable
Configuration_NodeType_Items_Item2_Signature_Open,15142,Method
Configuration_NodeType_Items_Item2_Signature_Open_InputArguments,15143,Variable
Configuration_NodeType_Items_Item2_Signature_Open_OutputArguments,15144,Variable
Configuration_NodeType_Items_Item2_Signature_Close,15145,Method
Configuration_NodeType_Items_Item2_Signature_Close_InputArguments,15146,Variable
Configuration_NodeType_Items_Item2_Signature_Read,15147,Method
Configuration_NodeType_Items_Item2_Signature_Read_InputArguments,15148,Variable
Configuration_NodeType_Items_Item2_Signature_Read_OutputArguments,15149,Variable
Configuration_NodeType_Items_Item2_Signature_Write,15150,Method
Configuration_NodeType_Items_Item2_Signature_Write_InputArguments,15151,Variable
Configuration_NodeType_Items_Item2_Signature_GetPosition,15152,Method
Configuration_NodeType_Items_Item2_Signature_GetPosition_InputArguments,15153,Variable
Configuration_NodeType_Items_Item2_Signature_GetPosition_OutputArguments,15154,Variable
Configuration_NodeType_Items_Item2_Signature_SetPosition,15155,Method
Configuration_NodeType_Items_Item2_Signature_SetPosition_InputArguments,15156,Variable
Configuration_NodeType_Items_Item2_AbortUpdateProcess,15157,Method
Configuration_NodeType_Items_Item2_Activate,15158,Method
Configuration_NodeType_Items_Item2_isSafetyRelevant,15159,Variable
Configuration_NodeType_Items_Item3,15160,Object
Configuration_NodeType_Items_Item3_ActivationState,15161,Variable
Configuration_NodeType_Items_Item3_PreloadState,15162,Variable
Configuration_NodeType_Items_Item3_ConfigurationItemId,15163,Variable
Configuration_NodeType_Items_Item3_CurrentVersion,15164,Variable
Configuration_NodeType_Items_Item3_PreloadedVersion,15165,Variable
Configuration_NodeType_Items_Item3_PreloadFile,15166,Object
Configuration_NodeType_Items_Item3_PreloadFile_Size,15167,Variable
Configuration_NodeType_Items_Item3_PreloadFile_Writable,15168,Variable
Configuration_NodeType_Items_Item3_PreloadFile_UserWritable,15169,Variable
Configuration_NodeType_Items_Item3_PreloadFile_OpenCount,15170,Variable
Configuration_NodeType_Items_Item3_PreloadFile_MimeType,15171,Variable
Configuration_NodeType_Items_Item3_PreloadFile_Open,15172,Method
Configuration_NodeType_Items_Item3_PreloadFile_Open_InputArguments,15173,Variable
Configuration_NodeType_Items_Item3_PreloadFile_Open_OutputArguments,15174,Variable
Configuration_NodeType_Items_Item3_PreloadFile_Close,15175,Method
Configuration_NodeType_Items_Item3_PreloadFile_Close_InputArguments,15176,Variable
Configuration_NodeType_Items_Item3_PreloadFile_Read,15177,Method
Configuration_NodeType_Items_Item3_PreloadFile_Read_InputArguments,15178,Variable
Configuration_NodeType_Items_Item3_PreloadFile_Read_OutputArguments,15179,Variable
Configuration_NodeType_Items_Item3_PreloadFile_Write,15180,Method
Configuration_NodeType_Items_Item3_PreloadFile_Write_InputArguments,15181,Variable
Configuration_NodeType_Items_Item3_PreloadFile_GetPosition,15182,Method
Configuration_NodeType_Items_Item3_PreloadFile_GetPosition_InputArguments,15183,Variable
Configuration_NodeType_Items_Item3_PreloadFile_GetPosition_OutputArguments,15184,Variable
Configuration_NodeType_Items_Item3_PreloadFile_SetPosition,15185,Method
Configuration_NodeType_Items_Item3_PreloadFile_SetPosition_InputArguments,15186,Variable
